,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
54,k,-2.0,-2.0,1,0,19.739304080623754,-1,0.0,0.40009599924087524,0.0,0.0,0.0,0.0,0.0,0.13343535063660283,0.016679418829575354,False,0
55,k,-2.0,-2.0,1,0,19.75573365278698,-1,0.0,0.5318279266357422,0.0,0.0,0.0,0.0,0.0,0.1317319625271125,0.016466495315889063,False,0
56,k,-2.0,-2.0,1,0,19.772561994998963,-1,0.0,0.6664677858352661,0.0,0.0,0.0,0.0,0.0,0.1346398659279373,0.016829983240992163,False,0
57,k,-2.0,-2.0,1,0,19.78920490093313,-1,0.0,0.7988331913948059,0.0,0.0,0.0,0.0,0.0,0.13236539972388073,0.01654567496548509,False,0
58,k,-2.0,-2.0,1,0,19.805963499412307,-1,0.0,0.9337586164474487,0.0,0.0,0.0,0.0,0.0,0.13492540497520622,0.016865675621900778,False,0
59,k,-2.0,-2.0,1,0,19.82248332817093,-1,0.0,1.0654544830322266,0.0,0.0,0.0,0.0,0.0,0.13169585988893573,0.016461982486116966,False,0
60,k,-2.0,-2.0,1,0,19.839298542150857,-1,0.0,1.1997891664505005,0.0,0.0,0.0,0.0,0.0,0.13433463453259264,0.01679182931657408,False,0
61,k,-2.0,-2.0,1,0,19.855854063290387,-1,0.0,1.3328109979629517,0.0,0.0,0.0,0.0,0.0,0.1330218113267847,0.016627726415848088,False,0
62,k,-2.0,-2.0,1,0,19.872562610384843,-1,0.0,1.4664433002471924,0.0,0.0,0.0,0.0,0.0,0.13363227411747403,0.016704034264684253,False,0
63,k,-2.0,-2.0,1,0,19.889199362460232,-1,0.0,1.5995668172836304,0.0,0.0,0.0,0.0,0.0,0.13312355512525187,0.016640444390656484,False,0
64,k,-2.0,-2.0,1,0,19.90604452521954,-1,0.0,1.733701229095459,0.0,0.0,0.0,0.0,0.0,0.13413442899368988,0.016766803624211235,False,0
65,k,-2.0,-2.0,1,0,19.922510610278174,-1,0.0,1.8660240173339844,0.0,0.0,0.0,0.0,0.0,0.13232273296972608,0.01654034162121576,False,0
66,k,-2.0,-2.0,1,0,19.9391896188505,-1,0.0,1.9994429349899292,0.0,0.0,0.0,0.0,0.0,0.13341894034653023,0.01667736754331628,False,0
67,k,-2.0,-2.0,1,0,19.955846473531228,-1,0.0,2.132746934890747,0.0,0.0,0.0,0.0,0.0,0.13330406831605046,0.016663008539506308,False,0
68,k,-2.0,-2.0,1,0,19.972512353871494,-1,0.0,2.266070604324341,0.0,0.0,0.0,0.0,0.0,0.1333237606641262,0.016665470083015776,False,0
69,k,-2.0,-2.0,1,0,19.989342337112486,-1,0.0,2.400047540664673,0.0,0.0,0.0,0.0,0.0,0.1339768902089986,0.016747111276124826,False,0
70,k,-2.0,-2.0,1,0,20.00578544776502,-1,0.0,2.531864881515503,0.0,0.0,0.0,0.0,0.0,0.13181729603547865,0.01647716200443483,False,0
