,ppid,heading,cameraoffset,width,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
55,k,-1.5,0,0.15,0,5.5063347640330145,-5,0.0,0.5329620242118835,0.0,0.0,0.0,0.0,0.0,0.13332337778594194,0.016665422223242743,False,0
56,k,-1.5,0,0.15,0,5.523016596499203,-5,0.0,0.6662755608558655,0.0,0.0,0.0,0.0,0.0,0.13331353164018367,0.01666419145502296,False,0
57,k,-1.5,0,0.15,0,5.539686121283182,-5,0.0,0.7996317744255066,0.0,0.0,0.0,0.0,0.0,0.13335619827183365,0.016669524783979206,False,0
58,k,-1.5,0,0.15,0,5.556340056336364,-5,0.0,0.9329453110694885,0.0,0.0,0.0,0.0,0.0,0.13331353164017656,0.01666419145502207,False,0
59,k,-1.5,0,0.15,0,5.572994401645619,-5,0.0,1.066120982170105,0.0,0.0,0.0,0.0,0.0,0.13317568559943993,0.01664696069992999,False,0
60,k,-1.5,0,0.15,0,5.589661875149231,-5,0.0,1.1995264291763306,0.0,0.0,0.0,0.0,0.0,0.13340542900067476,0.016675678625084345,False,0
61,k,-1.5,0,0.15,0,5.6063047332884235,-5,0.0,1.3327645063400269,0.0,0.0,0.0,0.0,0.0,0.13323804452262777,0.016654755565328472,False,0
62,k,-1.5,-1.5,0.15,0,5.628966048027858,-5,0.0,1.514967441558838,0.0,0.0,0.0,0.0,0.0,0.18220292742324062,0.022775365927905078,False,0
63,k,-1.5,-1.5,0.15,0,5.6396503469535615,-5,0.0,1.5993882417678833,0.0,0.0,0.0,0.0,0.0,0.08442085380853115,0.010552606726066394,False,0
64,k,-1.5,-1.5,0.15,0,5.6563055127749635,-5,0.0,1.7327083349227905,0.0,0.0,0.0,0.0,0.0,0.13332009573735348,0.016665011967169185,False,0
65,k,-1.5,-1.5,0.15,0,5.672971345254281,-5,0.0,1.8660252094268799,0.0,0.0,0.0,0.0,0.0,0.13331681368877213,0.016664601711096516,False,0
66,k,-1.5,-1.5,0.15,0,5.689619126466358,-5,0.0,1.999204158782959,0.0,0.0,0.0,0.0,0.0,0.1331789676480284,0.01664737095600355,False,0
67,k,-1.5,-1.5,0.15,0,5.706277164080276,-5,0.0,2.1324782371520996,0.0,0.0,0.0,0.0,0.0,0.13327414705710794,0.016659268382138492,False,0
68,k,-1.5,-1.5,0.15,0,5.723292944990404,-5,0.0,2.2669339179992676,0.0,0.0,0.0,0.0,0.0,0.1344556845491809,0.01680696056864761,False,0
